CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
270 WSM: Nosler 130gr ETA ET,0.2770,0.0000,,130,3200
270 WSM: Nosler 140gr TGA AB,0.2770,0.0000,,140,3100
270 WSM: Nosler 150gr NCA PT,0.2770,0.0000,,150,3050
270 WSM: Nosler 150gr TGA-LR ABLR,0.2770,0.0000,,150,3050
270 WSM: Remington 130gr Core-Lokt Pntd SP,0.2770,0.3360,,130,3285
270 WSM: Winchester 130gr Copper Extreme Point,0.2770,0.4180,,130,3215
270 WSM: Winchester 130gr Extreme Point,0.2770,0.4500,,130,3275
270 WSM: Winchester 150gr Ballistic Silvertip,0.2770,0.4960,,150,3120
270 WSM: Winchester 150gr Power-Point,0.2770,0.3440,,150,3150
275 RIGBY: Hornady 140gr InterLock  SP,0.2750,0.0000,,140,2680
28 NOSLER: Federal 155gr Terminal Ascent,0.2840,0.5860,0.3000,155,3200
28 NOSLER: Hornady 162gr ELD-X ,0.2840,0.0000,,162,3175
28 NOSLER: Nosler 150gr ETA ET,0.2840,0.0000,,150,3250
28 NOSLER: Nosler 160gr BTA BT,0.2840,0.0000,,160,3200
28 NOSLER: Nosler 160gr TGA AB,0.2840,0.0000,,160,3300
28 NOSLER: Nosler 160gr TGA PT,0.2840,0.0000,,160,3250
28 NOSLER: Nosler 168gr MGA CC,0.2840,0.0000,,168,3075
28 NOSLER: Nosler 175gr NCA PT,0.2840,0.0000,,175,3100
28 NOSLER: Nosler 175gr TGA-LR ABLR,0.2840,0.0000,,175,3125
28 NOSLER: Nosler 185gr MG-RDF RDF,0.2840,0.0000,,185,2950
28 NOSLER: User Data,0.2840,0.0000,,0,0
28 NOSLER: Winchester 150gr Copper Extreme Point,0.2840,0.4780,,150,3250
280 ACKLEY IMP: Hornady 162gr ELD-X ,0.2840,0.0000,,162,2850
280 ACKLEY IMPRD: Federal 140gr Trophy Copper,0.2840,0.4890,,140,3075
280 ACKLEY IMPRD: Federal 155gr Terminal Ascent,0.2840,0.5860,0.3000,155,2930
280 ACKLEY IMPRD: Federal 168gr Berger Hybrid Hunter,0.2840,0.5660,0.2900,168,2830
280 ACKLEY IMPRD: Nosler 140gr BTA BT,0.2840,0.0000,,140,3100
280 ACKLEY IMPRD: Nosler 140gr ETA ET,0.2840,0.0000,,140,3100
280 ACKLEY IMPRD: Nosler 140gr TGA AB,0.2840,0.0000,,140,3100
280 ACKLEY IMPRD: Nosler 150gr TGA-LR ABLR,0.2840,0.0000,,150,2930
280 ACKLEY IMPRD: Nosler 160gr TGA AB,0.2840,0.0000,,160,2950
280 ACKLEY IMPRD: Nosler 160gr TGA PT,0.2840,0.0000,,160,2950
280 ACKLEY IMPRD: Nosler 168gr NCA ABLR,0.2840,0.0000,,168,2875
280 ACKLEY IMPROVED: User Data,0.2840,0.0000,,0,0
280 REM: Federal 140gr Trophy Bonded Tip,0.2840,0.4300,,140,2950
280 REM: Hornady 150gr ELD-X ,0.2840,0.0000,,150,2925
280 REM: Nosler 140gr BTA BT,0.2840,0.0000,,140,3000
280 REM: Nosler 140gr ETA ET,0.2840,0.0000,,140,2925
280 REM: Nosler 140gr TGA AB,0.2840,0.0000,,140,3000
280 REM: Nosler 160gr NCA PT,0.2840,0.0000,,160,2725
280 REM: Remington 140gr Core-Lokt Pntd SP,0.2840,0.3900,,140,3000
280 REM: Remington 140gr Core-Lokt Tipped,0.2840,0.4860,,140,3020
280 REM: Remington 150gr Core-Lokt Pntd SP,0.2840,0.3460,,150,2890
280 REM: Remington 165gr Core-Lokt SP,0.2840,0.2900,,165,2820
280 REM: User Data,0.2840,0.0000,,0,0
284 WIN: Winchester 150gr Power-Point,0.3080,0.3640,,150,2860
30 CARBINE: Hornady 110gr FTX,0.3080,0.0000,,110,2000
30 CARBINE: Remington 110gr Core-Lokt SP,0.3080,0.1660,,110,1990
30 CARBINE: Remington 110gr FMJ,0.3080,0.1660,,110,1990
30 CARBINE: User Data,0.3080,0.0000,,0,0
30 CARBINE: Winchester 110gr FMJ,0.3080,0.1800,,110,1990
30 CARBINE: Winchester 110gr Hollow SP,0.3080,0.1660,,110,1990
30 NOSLER: Nosler 180gr ETA ET,0.3080,0.0000,,180,3100
30 NOSLER: Nosler 180gr TGA AB,0.3080,0.0000,,180,3200
30 NOSLER: Nosler 200gr TGA AB,0.3080,0.0000,,200,3000
30 NOSLER: Nosler 200gr TGA PT,0.3080,0.0000,,200,3000
30 NOSLER: Nosler 210gr TGA-LR ABLR,0.3080,0.0000,,210,3000
30 NOSLER: User Data,0.3080,0.0000,,0,0
30 REM AR: Remington 150gr Core-Lokt Pntd SP,0.3080,0.3140,,150,2575
30 SUPER CARRY: Remington 100gr FMJ,0.3120,0.1650,,100,1250
30 SUPER CARRY: Remington 100gr JHP,0.3120,0.1650,,100,1235
30 SUPER CARRY: User Data,0.3120,0.0000,,0,0
30 Thompson Ctr: Hornady 150gr SST ,0.3080,0.0000,,150,3000
30-06 SPRG: Federal 165gr Barnes Triple-Shock,0.3080,0.3980,,165,2800
30-06 SPRG: Federal 165gr Swift Scirocco Ii,0.3080,0.4700,,165,2800
30-06 SPRG: Federal 165gr Trophy Bonded Tip,0.3080,0.4500,,165,2800
30-06 SPRG: Federal 168gr Berger Hybrid Hunter,0.3080,0.4890,0.2510,168,2800
30-06 SPRG: Federal 168gr Sierra Matchking Bthp,0.3080,0.4630,0.2240,168,2700
30-06 SPRG: Federal 175gr Terminal Ascent,0.3080,0.5200,0.2580,175,2730
30-06 SPRG: Federal 178gr Eld-X,0.3080,0.5520,0.2780,178,2760
30-06 SPRG: Federal 180gr Barnes Triple-Shock,0.3080,0.4530,,180,2700
30-06 SPRG: Federal 180gr Trophy Bonded Tip,0.3080,0.5000,,180,2700
30-06 SPRG: Federal 180gr Trophy Copper,0.3080,0.5230,,180,2700
30-06 SPRG: Fiocchi 150gr COPPER HP,0.3080,0.4000,,150,2950
30-06 SPRG: Fiocchi 150gr PSP,0.3080,0.3800,,150,2910
30-06 SPRG: Fiocchi 165gr HPBT GK,0.3080,0.2240,,165,2850
30-06 SPRG: Fiocchi 165gr PSP,0.3080,0.4040,,165,2800
30-06 SPRG: Fiocchi 165gr SCIROCCO,0.3080,0.4700,,165,2875
30-06 SPRG: Fiocchi 180gr PSP,0.3080,0.4520,,180,2700
30-06 SPRG: Fiocchi 180gr SST,0.3080,0.4800,,180,2675
30-06 SPRG: Hornady 125gr SST ,0.3080,0.0000,,125,2700
30-06 SPRG: Hornady 150gr CX ,0.3080,0.0000,,150,3080
30-06 SPRG: Hornady 150gr CX ,0.3080,0.0000,,150,3000
30-06 SPRG: Hornady 150gr InterLock  SP,0.3080,0.0000,,150,2910
30-06 SPRG: Hornady 150gr SST ,0.3080,0.0000,,150,3080
30-06 SPRG: Hornady 165gr CX ,0.3080,0.0000,,165,2940
30-06 SPRG: Hornady 165gr SST ,0.3080,0.0000,,165,2900
30-06 SPRG: Hornady 165gr SST ,0.3080,0.0000,,165,2960
30-06 SPRG: Hornady 168gr ELD  Match,0.3080,0.0000,,168,2710
30-06 SPRG: Hornady 178gr ELD-X ,0.3080,0.0000,,178,2750
30-06 SPRG: Hornady 180gr CX ,0.3080,0.0000,,180,2700
30-06 SPRG: Hornady 180gr InterLock  SP,0.3080,0.0000,,180,2700
30-06 SPRG: Hornady 180gr SST ,0.3080,0.0000,,180,2820
30-06 SPRG: Lapua 123gr FMJ,0.3080,0.0000,,123,2935
30-06 SPRG: Lapua 170gr Naturalis,0.3080,0.0000,,170,2723
30-06 SPRG: Lapua 185gr Mega,0.3080,0.0000,,185,2625
30-06 SPRG: Lapua 200gr Mega,0.3080,0.0000,,200,2545
30-06 SPRG: Nosler 125gr BTA BT,0.3080,0.0000,,125,3100
30-06 SPRG: Nosler 150gr TGA PT,0.3080,0.0000,,150,3000
30-06 SPRG: Nosler 150gr WCA SB,0.3080,0.0000,,150,2950
30-06 SPRG: Nosler 165gr BTA BT,0.3080,0.0000,,165,2950
30-06 SPRG: Nosler 165gr TGA AB,0.3080,0.0000,,165,2950
30-06 SPRG: Nosler 165gr TGA PT,0.3080,0.0000,,165,2950
30-06 SPRG: Nosler 165gr WCA SB,0.3080,0.0000,,165,2900
30-06 SPRG: Nosler 168gr ETA ET,0.3080,0.0000,,168,2800
30-06 SPRG: Nosler 168gr TGA-LR ABLR,0.3080,0.0000,,168,2800
30-06 SPRG: Nosler 180gr BTA BT,0.3080,0.0000,,180,2750
30-06 SPRG: Nosler 180gr ETA ET,0.3080,0.0000,,180,2750
30-06 SPRG: Nosler 180gr TGA AB,0.3080,0.0000,,180,2750
30-06 SPRG: Nosler 180gr TGA PT,0.3080,0.0000,,180,2750
30-06 SPRG: Nosler 190gr NCA ABLR,0.3080,0.0000,,190,2700
30-06 SPRG: Remington 125gr Core-Lokt Pntd SP,0.3080,0.2680,,125,3140
30-06 SPRG: Remington 150gr Copper-tipped BT,0.3080,0.4180,,150,2930
30-06 SPRG: Remington 150gr Core-Lokt Copper,0.3080,0.2780,,150,2910
30-06 SPRG: Remington 150gr Core-Lokt Pntd SP,0.3080,0.3140,,150,2910
30-06 SPRG: Remington 150gr Core-Lokt Tipped,0.3080,0.4150,,150,2930
30-06 SPRG: Remington 150gr FMJ,0.3080,0.4220,,150,2910
30-06 SPRG: Remington 150gr Swift Scirocco Bonded,0.3080,0.4350,,150,2910
30-06 SPRG: Remington 165gr Core-Lokt Pntd SP,0.3080,0.3390,,165,2800
30-06 SPRG: Remington 165gr Core-Lokt Tipped,0.3080,0.4470,,165,2820
30-06 SPRG: Remington 172gr Speer Impact,0.3080,0.5220,,172,2825
30-06 SPRG: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3830,,180,2700
30-06 SPRG: Remington 180gr Core-Lokt SP,0.3080,0.2480,,180,2700
30-06 SPRG: Remington 180gr Core-Lokt Tipped,0.3080,0.4800,,180,2745
30-06 SPRG: Remington 180gr Swift Scirocco Bonded,0.3080,0.5000,,180,2700
30-06 SPRG: Remington 220gr Core-Lokt SP,0.3080,0.2940,,220,2410
30-06 SPRG: User Data,0.3080,0.0000,,0,0
30-06 SPRG: Winchester 125gr Pntd SP,0.3080,0.2680,,125,3140
30-06 SPRG: Winchester 147gr FMJ,0.3080,0.4210,,147,3020
30-06 SPRG: Winchester 150gr Ballistic Silvertip,0.3080,0.4350,,150,2900
30-06 SPRG: Winchester 150gr Copper Extreme Point,0.3080,0.3870,,150,2920
30-06 SPRG: Winchester 150gr Extreme Point,0.3080,0.3920,,150,2920
30-06 SPRG: Winchester 150gr M2 Ball,0.3080,0.4200,,150,2740
30-06 SPRG: Winchester 150gr Power-Point,0.3080,0.2940,,150,2920
30-06 SPRG: Winchester 165gr Power-Point,0.3080,0.3410,,165,2800
30-06 SPRG: Winchester 180gr Ballistic Silvertip,0.3080,0.5070,,180,2750
30-06 SPRG: Winchester 180gr Copper Extreme Point,0.3080,0.4700,,180,2725
30-06 SPRG: Winchester 180gr Extreme Point,0.3080,0.4220,,180,2750
30-06 SPRG: Winchester 180gr Power-Point,0.3080,0.3810,,180,2700
30-06 SPRG: Winchester 190gr Accubond LR,0.3080,0.5970,,190,2750
30-30 WIN: Federal 150gr Barnes Triple-Shock,0.3080,0.1840,,150,2220
30-30 WIN: Federal 150gr Bonded HP,0.3080,0.0000,,150,2390
30-30 WIN: Federal 150gr Trophy Copper,0.3080,0.2220,,150,2300
30-30 WIN: Fiocchi 150gr FSP,0.3080,0.1860,,150,2390
30-30 WIN: Fiocchi 170gr FSP,0.3080,0.1890,,170,2200
30-30 WIN: Hornady 140gr MonoFlex ,0.3080,0.0000,,140,2465
30-30 WIN: Hornady 150gr RN,0.3080,0.0000,,150,2390
30-30 WIN: Hornady 160gr FTX ,0.3080,0.0000,,160,2400
30-30 WIN: Hornady 175gr SUB-X,0.3080,0.0000,,175,1050
30-30 WIN: Nosler 150gr BTA BT RN,0.3080,0.0000,,150,2390
30-30 WIN: Nosler 150gr ETA ET RN,0.3080,0.0000,,150,2250
30-30 WIN: Nosler 150gr WCA SB-RN,0.3080,0.0000,,150,2390
30-30 WIN: Remington 125gr Core-Lokt SP,0.3080,0.2150,,125,2175
30-30 WIN: Remington 150gr Core-Lokt SP,0.3080,0.1930,,150,2390
30-30 WIN: Remington 150gr Core-Lokt Tipped,0.3080,0.2720,,150,2390
30-30 WIN: Remington 170gr Core-Lokt HP,0.3080,0.2540,,170,2200
30-30 WIN: Remington 170gr Core-Lokt SP,0.3080,0.2540,,170,2200
30-30 WIN: User Data,0.3080,0.0000,,0,0
30-30 WIN: Winchester 150gr Ballistic Silvertip,0.3080,0.2320,,150,2390
30-30 WIN: Winchester 150gr Extreme Point,0.3080,0.2150,,150,2320
30-30 WIN: Winchester 150gr HP,0.3080,0.2180,,150,2390
30-30 WIN: Winchester 150gr Power-Point,0.3080,0.2180,,150,2390
30-30 WIN: Winchester 170gr Power-Point,0.3080,0.2410,,170,2200
30-378 WBY  MAG: User Data,0.3080,0.0000,,0,0
30-378 WBY MAG: Hornady 220gr ELD-X ,0.3080,0.0000,,220,3025
30-378 WBY MAG: Nosler 180gr NCA PT,0.3080,0.0000,,180,3400
30-378 WBY MAG: Nosler 180gr TGA AB,0.3080,0.0000,,180,3400
30-378 WBY MAG: Nosler 210gr TGA-LR ABLR,0.3080,0.0000,,210,3040
30-40 KRAG: Hornady 180gr InterLock  SP,0.3080,0.0000,,180,2430
30-40 KRAG: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3830,,180,2430
30-40 KRAG: Winchester 180gr Power-Point,0.3080,0.3940,,180,2430
300 BLKOUT: User Data,0.3080,0.0000,,0,0
300 BLKOUT: Fiocchi 125gr SST,0.3080,0.3050,,125,2200
300 BLKOUT: Hornady 110gr CX,0.3080,0.0000,,110,2285
300 BLKOUT: Hornady 110gr NTX,0.3080,0.0000,,110,2070
300 BLKOUT: Hornady 110gr V-MAX,0.3080,0.0000,,110,2375
300 BLKOUT: Hornady 125gr FMJ,0.3080,0.0000,,125,2175
300 BLKOUT: Hornady 125gr HP Match,0.3080,0.0000,,125,2175
300 BLKOUT: Hornady 135gr FTX,0.3080,0.0000,,135,2085
300 BLKOUT: Hornady 190gr SUB-X,0.3080,0.0000,,190,1050
300 BLKOUT: Hornady 208gr A-MAX,0.3080,0.0000,,208,1020
300 BLKOUT: Hornady 208gr FMJ,0.3080,0.0000,,208,1025
300 BLKOUT: Nosler 110gr ETA ET,0.3080,0.0000,,110,2300
300 BLKOUT: Nosler 110gr VMG FB Tipped,0.3080,0.0000,,110,2200
300 BLKOUT: Nosler 125gr BTA BT,0.3080,0.0000,,125,2250
300 BLKOUT: Nosler 220gr BTA BT RN,0.3080,0.0000,,220,1020
300 BLKOUT: Nosler 220gr MGA CC,0.3080,0.0000,,220,1020
300 BLKOUT: Remington 120gr Core-Lokt Copper,0.3080,0.2510,,120,2100
300 BLKOUT: Remington 120gr Open Tip Flat Base,0.3080,0.2970,,120,2200
300 BLKOUT: Remington 125gr Core-Lokt Pntd SP,0.3080,0.0000,,125,
300 BLKOUT: Remington 125gr MatchKing OTM,0.3080,0.3300,,125,2215
300 BLKOUT: Remington 150gr FMJ,0.3080,0.3900,,150,1905
300 BLKOUT: Remington 220gr OTFB,0.3080,0.6800,,220,940
300 BLKOUT: Remington 220gr OTFB,0.3080,0.6800,,220,940
300 BLKOUT: Winchester 125gr Open Tip,0.3080,0.2670,,125,2165
300 BLKOUT: Winchester 125gr Open Tip,0.3080,0.2670,,125,2165
300 BLKOUT: Winchester 147gr FMJ,0.3080,0.4150,,147,1920
300 BLKOUT: Winchester 147gr FMJ,0.3080,0.4150,,147,1920
300 BLKOUT: Winchester 150gr Extreme Point,0.3080,0.3920,,150,1900
300 BLKOUT: Winchester 150gr Power-Point,0.3080,0.2940,,150,1890
300 BLKOUT: Winchester 150gr Silvertip Defense Tip,0.3080,0.3920,,150,1900
300 BLKOUT: Winchester 200gr JHP,0.3080,0.3060,,200,1060
300 BLKOUT: Winchester 200gr Open Tip,0.3080,0.2690,,200,1060
300 BLKOUT: Winchester 200gr Open Tip,0.3080,0.2690,,200,1060
300 BLKOUT: Winchester 200gr Open Tip,0.3080,0.2690,,200,1060
300 H&H MAG: Nosler 180gr NCA PT,0.3080,0.0000,,180,2850
300 H&H MAG: Nosler 180gr TGA AB,0.3080,0.0000,,180,2850
300 H&H MAG: User Data,0.3080,0.0000,,0,0
300 PRC: Federal 210gr Terminal Ascent,0.3080,0.6630,0.3410,210,2850
300 PRC: Federal 212gr Eld-X,0.3080,0.6630,0.3340,212,2860
300 PRC: Hornady 165gr SST ,0.3080,0.0000,,165,3200
300 PRC: Hornady 174gr ELD-VT ,0.3080,0.0000,,174,3150
300 PRC: Hornady 190gr CX ,0.3080,0.0000,,190,3000
300 PRC: Hornady 212gr ELD-X ,0.3080,0.0000,,212,2860
300 PRC: Hornady 225gr ELD  Match,0.3080,0.0000,,225,2810
300 PRC: Remington 210gr Core-Lokt Tipped,0.3080,0.0000,,210,3000
300 PRC: Remington 215gr Speer Impact,0.3080,0.6430,,215,2850
300 PRC: User Data,0.3080,0.0000,,0,0
300 RCM: Hornady 178gr ELD-X ,0.3080,0.0000,,178,2900
300 REM SA ULTRA MAG: Hornady 178gr ELD-X ,0.3080,0.0000,,178,2950
300 REM SA ULTRA MAG: Remington 165gr Core-Lokt Pntd SP,0.3080,0.3390,,165,3075
300 REM ULTRA MAG: Hornady 180gr CX ,0.3080,0.0000,,180,3200
300 REM ULTRA MAG: Hornady 220gr ELD-X ,0.3080,0.0000,,220,2910
300 REM ULTRA MAG: Remington 150gr Swift Scirocco Bonded,0.3080,0.4350,,150,3450
300 REM ULTRA MAG: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3390,,180,3270
300 REM ULTRA MAG: Remington 180gr Core-Lokt Tipped,0.3080,0.4800,,180,3150
300 REM ULTRA MAG: Remington 180gr Swift Scirocco Bonded,0.3080,0.5000,,180,3250
300 REM ULTRA MAG: Remington 190gr Speer Impact,0.3080,0.5960,,190,3100
300 REM ULTRA MAG: User Data,0.3080,0.0000,,0,0
300 RUM: Nosler 165gr TGA PT,0.3080,0.0000,,165,3350
300 RUM: Nosler 180gr ETA ET,0.3080,0.0000,,180,3200
300 RUM: Nosler 180gr TGA AB,0.3080,0.0000,,180,3250
300 RUM: Nosler 180gr TGA PT,0.3080,0.0000,,180,3200
300 RUM: Nosler 200gr TGA AB,0.3080,0.0000,,200,3050
300 RUM: Nosler 210gr TGA-LR ABLR,0.3080,0.0000,,210,2920
300 SAUM: Nosler 150gr NCA AB,0.3080,0.0000,,150,3200
300 SAUM: Nosler 165gr TGA PT,0.3080,0.0000,,165,3025
300 SAUM: Nosler 180gr NCA AB,0.3080,0.0000,,180,2900
300 SAUM: Nosler 180gr TGA PT,0.3080,0.0000,,180,2950
300 SAUM: User Data,0.3080,0.0000,,0,0
300 SAVAGE: Hornady 150gr SST ,0.3080,0.0000,,150,2740
300 SAVAGE: Remington 150gr Core-Lokt Pntd SP,0.3080,0.3140,,150,2630
300 SAVAGE: User Data,0.3080,0.0000,,0,0
300 SAVAGE: Winchester 150gr Power-Point,0.3080,0.2940,,150,2630
300 WBY MAG: Hornady 180gr CX ,0.3080,0.0000,,180,3100
300 WBY MAG: Hornady 200gr ELD-X ,0.3080,0.0000,,200,2960
300 WBY MAG: Nosler 180gr ETA ET,0.3080,0.0000,,180,3050
300 WBY MAG: Nosler 180gr NCA PT,0.3080,0.0000,,180,3175
300 WBY MAG: Nosler 180gr TGA AB,0.3080,0.0000,,180,3175
300 WBY MAG: Nosler 210gr TGA-LR ABLR,0.3080,0.0000,,210,2825
300 WBY MAG: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3830,,180,3120
300 WBY MAG: User Data,0.3080,0.0000,,0,0
300 WIN MAG: Federal 165gr Barnes Triple-Shock,0.3080,0.3980,,165,3050
300 WIN MAG: Federal 165gr Trophy Bonded Tip,0.3080,0.4500,,165,3050
300 WIN MAG: Federal 165gr Trophy Copper,0.3080,0.5030,0.3050,165,3050
300 WIN MAG: Federal 175gr Terminal Ascent,0.3080,0.5200,0.2580,175,3030
300 WIN MAG: Federal 180gr Barnes Triple-Shock,0.3080,0.4530,,180,2960
300 WIN MAG: Federal 180gr Swift Scirocco Ii,0.3080,0.5200,,180,2950
300 WIN MAG: Federal 180gr Trophy Bonded Tip,0.3080,0.5000,,180,2960
300 WIN MAG: Federal 180gr Trophy Copper,0.3080,0.5230,,180,2960
300 WIN MAG: Federal 185gr Berger Hybrid Hunter,0.3080,,0.2730,185,2950
300 WIN MAG: Federal 190gr Sierra Matchking Bthp,0.3080,0.5330,0.2750,190,2900
300 WIN MAG: Federal 200gr Eld-X,0.3080,0.5970,0.3010,200,2860
300 WIN MAG: Federal 200gr Terminal Ascent,0.3080,0.6080,0.3040,200,2810
300 WIN MAG: Federal 215gr Berger Hybrid,0.3080,0.6910,0.3540,215,2825
300 WIN MAG: Fiocchi 165gr COPPER HP,0.3080,0.4100,,165,3100
300 WIN MAG: Fiocchi 180gr PSP,0.3080,0.4520,,180,3000
300 WIN MAG: Fiocchi 180gr SCIROCCO,0.3080,0.5200,,180,3020
300 WIN MAG: Fiocchi 180gr SST,0.3080,0.4800,,180,3000
300 WIN MAG: Fiocchi 190gr HPBT MK,0.3080,0.5330,,190,2900
300 WIN MAG: Hornady 150gr InterLock  SP,0.3080,0.0000,,150,3275
300 WIN MAG: Hornady 165gr CX ,0.3080,0.0000,,165,3260
300 WIN MAG: Hornady 165gr SST ,0.3080,0.0000,,165,3150
300 WIN MAG: Hornady 178gr ELD  Match,0.3080,0.0000,,178,2960
300 WIN MAG: Hornady 178gr ELD-X ,0.3080,0.0000,,178,2960
300 WIN MAG: Hornady 180gr CX ,0.3080,0.0000,,180,2960
300 WIN MAG: Hornady 180gr InterLock  SP,0.3080,0.0000,,180,2960
300 WIN MAG: Hornady 180gr SST ,0.3080,0.0000,,180,3130
300 WIN MAG: Hornady 195gr ELD  Match,0.3080,0.0000,,195,2930
300 WIN MAG: Hornady 200gr ELD-X ,0.3080,0.0000,,200,2860
300 WIN MAG: Lapua 170gr Naturalis,0.3080,0.0000,,170,2959
300 WIN MAG: Lapua 185gr Mega,0.3080,0.0000,,185,2723
300 WIN MAG: Lapua 185gr Scenar,0.3080,0.0000,,185,2953
300 WIN MAG: Nosler 165gr NCA PT,0.3080,0.0000,,165,3100
300 WIN MAG: Nosler 180gr BTA BT,0.3080,0.0000,,180,2950
300 WIN MAG: Nosler 180gr ETA ET,0.3080,0.0000,,180,2950
300 WIN MAG: Nosler 180gr TGA AB,0.3080,0.0000,,180,2950
300 WIN MAG: Nosler 180gr TGA PT,0.3080,0.0000,,180,2950
300 WIN MAG: Nosler 190gr TGA-LR ABLR,0.3080,0.0000,,190,2870
300 WIN MAG: Nosler 200gr NCA AB,0.3080,0.0000,,200,2800
300 WIN MAG: Nosler 200gr TGA PT,0.3080,0.0000,,200,2750
300 WIN MAG: Nosler 210gr MGA-RDF RDF,0.3080,0.0000,,210,2750
300 WIN MAG: Remington 150gr Core-Lokt Pntd SP,0.3080,0.2940,,150,3290
300 WIN MAG: Remington 180gr Copper-tipped BT,0.3080,0.4690,,180,2960
300 WIN MAG: Remington 180gr Core-Lokt Copper,0.3080,0.3300,,180,2850
300 WIN MAG: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3830,,180,2960
300 WIN MAG: Remington 180gr Core-Lokt Tipped,0.3080,0.4810,,180,2980
300 WIN MAG: Remington 180gr Swift Scirocco Bonded,0.3080,0.5070,,180,2960
300 WIN MAG: Remington 190gr Speer Impact,0.3080,0.5960,,190,2885
300 WIN MAG: User Data,0.3080,0.0000,,0,0
300 WIN MAG: Winchester 150gr Copper Extreme Point,0.3080,0.3870,,150,3260
300 WIN MAG: Winchester 150gr Extreme Point,0.3080,0.3920,,150,3260
300 WIN MAG: Winchester 150gr Power-Point,0.3080,0.2940,,150,3290
300 WIN MAG: Winchester 180gr AccuBond CT,0.3080,0.5090,,180,2950
300 WIN MAG: Winchester 180gr Ballistic Silvertip,0.3080,0.5070,,180,2950
300 WIN MAG: Winchester 180gr Copper Extreme Point,0.3080,0.4700,,180,2950
300 WIN MAG: Winchester 180gr Extreme Point,0.3080,0.4220,,180,2950
300 WIN MAG: Winchester 180gr Power-Point,0.3080,0.4380,,180,2960
300 WIN MAG: Winchester 190gr Accubond LR,0.3080,0.5970,,190,2900
300 WIN MAG: Winchester 195gr BC Max,0.3080,0.5690,,195,2900
300 WIN SHORT MAG: Federal 165gr Barnes Triple-Shock,0.3080,0.3980,,165,3130
300 WIN SHORT MAG: Federal 165gr Trophy Bonded Tip,0.3080,0.4500,,165,3130
300 WIN SHORT MAG: Federal 165gr Trophy Copper,0.3080,0.5030,,165,3120
300 WIN SHORT MAG: Federal 180gr Swift Scirocco Ii,0.3080,0.5200,,180,2960
300 WIN SHORT MAG: Federal 180gr Trophy Bonded Tip,0.3080,0.5000,,180,2960
300 WIN SHORT MAG: Federal 180gr Trophy Copper,0.3080,0.5230,,180,2960
300 WIN SHORT MAG: Federal 185gr Berger Hybrid Hunter,0.3080,,0.2730,185,2950
300 WIN SHORT MAG: Federal 200gr Eld-X,0.3080,0.5970,0.3010,200,2820
300 WIN SHORT MAG: Federal 200gr Terminal Ascent,0.3080,0.6080,0.3040,200,2810
300 WIN SHORT MAG: User Data,0.3080,0.0000,,0,0
300 WSM: Hornady 165gr InterLock ,0.3080,0.0000,,165,3130
300 WSM: Hornady 180gr CX ,0.3080,0.0000,,180,2900
300 WSM: Hornady 200gr ELD-X ,0.3080,0.0000,,200,2820
300 WSM: Nosler 165gr BTA BT,0.3080,0.0000,,165,3125
300 WSM: Nosler 180gr ETA ET,0.3080,0.0000,,180,2900
300 WSM: Nosler 180gr TGA AB,0.3080,0.0000,,180,2950
300 WSM: Nosler 190gr TGA-LR ABLR,0.3080,0.0000,,190,2875
300 WSM: Remington 150gr Core-Lokt Pntd SP,0.3080,0.2940,,150,3320
300 WSM: Remington 150gr Core-Lokt Tipped,0.3080,0.4150,,150,3340
300 WSM: Remington 180gr Swift Scirocco Bonded,0.3080,0.5070,,180,2980
300 WSM: Winchester 150gr Copper Extreme Point,0.3080,0.3870,,150,3200
300 WSM: Winchester 150gr Extreme Point,0.3080,0.3920,,150,3260
300 WSM: Winchester 180gr Ballistic Silvertip,0.3080,0.5070,,180,3010
300 WSM: Winchester 180gr Copper Extreme Point,0.3080,0.4700,,180,2900
300 WSM: Winchester 180gr Extreme Point,0.3080,0.4220,,180,2900
300 WSM: Winchester 180gr Power-Point,0.3080,0.4380,,180,2970
300 WSM: Winchester 190gr Accubond LR,0.3080,0.5970,,190,2875
300 WSM: Winchester 195gr BC MAX,0.3080,0.5890,,195,2900
303 BRITISH: Hornady 150gr InterLock  SP,0.3120,0.0000,,150,2685
303 BRITISH: Remington 174gr FMJ,0.3120,0.3150,,174,2475
303 BRITISH: Remington 180gr Core-Lokt SP,0.3120,0.2470,,180,2460
303 BRITISH: User Data,0.3120,0.0000,,0,0
303 BRITISH: Winchester 180gr Power-Point,0.3120,0.3690,,180,2460
307 WIN: Winchester 180gr Power-Point,0.3080,0.2530,,180,2510
308 MARLIN EXP: Hornady 160gr FTX ,0.3080,0.0000,,160,2660
308 MARLIN EXP: Remington 150gr Core-Lokt Pntd SP,0.3080,0.1930,,150,2725
308 WIN (7.62X51): User Data,0.3080,0.0000,,0,0
308 WIN: Federal 150gr Barnes Triple-Shock,0.3080,0.3690,,150,2820
308 WIN: Federal 150gr Trophy Copper,0.3080,0.4690,,150,2820
308 WIN: Federal 165gr Barnes Triple-Shock,0.3080,0.3980,,165,2650
